uid	pubdate	authors	title	fulljournalname	elocationid
39018675	2024 Jul 16	"Huang S, Tan C, Zheng J, Huang Z, Li Z, Lv Z, Chen W, Chen M, Yuan X, Chen C, Yan Q"	Identification of RNMT as an immunotherapeutic and prognostic biomarker: From pan-cancer analysis to lung squamous cell carcinoma validation.	Immunobiology	doi: 10.1016/j.imbio.2024.152836
39015705	2024 Jun 30	"Li X, Wang Y, Li X, Kong L, Díez JJ, Wang H, Zhang D"	"A comprehensive pan-cancer analysis revealing SPAG6 as a novel diagnostic, prognostic and immunological biomarker in tumor."	Gland surgery	doi: 10.21037/gs-24-157
39014450	2024 Jul 16	"Silva MP, Ferreira LT, Brás NF, Torres L, Brandão A, Pinheiro M, Cardoso M, Resende A, Vieira J, Palmeira C, Martins G, Silva M, Pinto C, Peixoto A, Silva J, Henrique R, Maia S, Maiato H, Teixeira MR, Paulo P"	BUB1B monoallelic germline variants contribute to prostate cancer predisposition by triggering chromosomal instability.	Journal of biomedical science	doi: 10.1186/s12929-024-01056-z
39013484	2024 Jul 14	"Zhou Z, Fan B, Qiu Q, Cheng H, Wang L, Wu Y, Xie J, Ni C, Li N"	Pan-cancer analysis and experimental validation reveal FAM72D as a potential novel biomarker and therapeutic target in lung adenocarcinoma.	Gene	doi: 10.1016/j.gene.2024.148764
39009451	2024 Jul 15	"Thareja G, Salvioni A, Lauzeral-Vizcaino F, Halabi N, Mery-Lamarche E, Thebault N, Scarlata CM, Michelas M, Navarro AS, Ferron G, Lecuru F, Mathevet P, Khalifa J, Ayyoub M, Rafii A, Martinez A"	Assessing the implications of sentinel lymph node removal in cervical cancer: an immunogenetic perspective - a SENTICOL ancillary study.	Journal for immunotherapy of cancer	pii: e008734. doi: 10.1136/jitc-2023-008734
39008196	2024 Jul 15	"Chen C, Li Y, Li Y, Chen Z, Shi P, Xie Y, Qian S"	SNCA is a potential therapeutic target for COVID-19 infection in diffuse large B-cell lymphoma patients.	Apoptosis : an international journal on programmed cell death	doi: 10.1007/s10495-024-01996-9
39007183	2024 Jun 20	"Jaime-Casas S, Barragan-Carrillo R, Tripathi A"	Antibody-drug conjugates in solid tumors: a new frontier.	Current opinion in oncology	doi: 10.1097/CCO.0000000000001064
39006081	2024	"Hu S, Chen Y, Sun B"	Exploring the Prognostic Value and Immune Infiltration Patterns of GPRC5A Across Multiple Cancer Types.	Journal of Cancer	doi: 10.7150/jca.93217
39006068	2024	"Liu Y, Lu T, Li R, Cui L, Xu R, Teng S, Baranenko D, Zhang T, Yang L, Qie R, Xiao D"	"Integrated pan-cancer genomic analysis reveals the role of SLC30A5 in the proliferation, metastasis, and prognosis of hepatocellular carcinoma."	Journal of Cancer	doi: 10.7150/jca.97214
39006026	2024	"Bao Y, Tang Z, Chen R, Yu X, Qi X"	Pan-cancer analysis identifies olfactory receptor family 7 subfamily A member 5 as a potential biomarker for glioma.	PeerJ	doi: 10.7717/peerj.17631
39005672	2024	"Liu Z, Li L, Liu L, Zhu Z, Yu Y, Zhan S, Luo Z, Li Y, Long H, Cai J, Huang K, Du X"	PDK3 drives colorectal carcinogenesis and immune evasion and is a therapeutic target for boosting immunotherapy.	American journal of cancer research	doi: 10.62347/QWKZ3078
39005670	2024	"Hsu HC, Lee YS, Imbang TI, Liu TC, Hung SI"	SLC11A1 predicts the overall survival of patients with colorectal cancer.	American journal of cancer research	doi: 10.62347/VTYU3157
38997639	2024 Jul 12	"Lee JJ, Kang HJ, Kim D, Lim SO, Kim SS, Kim G, Kim S, Lee JK, Kim J"	"expHRD: an individualized, transcriptome-based prediction model for homologous recombination deficiency assessment in cancer."	BMC bioinformatics	doi: 10.1186/s12859-024-05854-y
38995439	2024 Jul 12	"Yin Y, Li Y, Zhang Y, Jia Q, Tang H, Chen J, Ji R"	An analysis of the role of GAB2 in pan-cancer from a multidimensional perspective.	Discover oncology	doi: 10.1007/s12672-024-01135-5
38987531	2024 Jul 10	"Rao Y, Li J, Shi L, Chen X, Hu Y, Mao Y, Zhang X, Liu X"	Silencing CK19 regulates ferroptosis by affecting the expression of GPX4 and ACSL4 in oral squamous cell carcinoma in vivo and in vitro.	Scientific reports	doi: 10.1038/s41598-024-65079-0
38982153	2024 Jul 9	"Cao L, Li F, Cai S, Zhang J, Guo C, Ali S, Zhou J, Jing X, Wang X, Qin Y, Wu F"	Pan-cancer analysis and the oncogenic role of Glypican 1 in hepatocellular carcinoma.	Scientific reports	doi: 10.1038/s41598-024-66838-9
38980931	2024 Jul 9	"Scalera S, Ricciuti B, Marinelli D, Mazzotta M, Cipriani L, Bon G, Schiavoni G, Terrenato I, Di Federico A, Alessi JV, Fanciulli M, Ciuffreda L, De Nicola F, Goeman F, Caravagna G, Santini D, De Maria R, Cappuzzo F, Ciliberto G, Jamal-Hanjani M, Awad MM, McGranahan N, Maugeri-Saccà M"	Transcriptional phenocopies of deleterious KEAP1 mutations correlate with survival outcomes in lung cancer treated with immunotherapy.	Clinical cancer research : an official journal of the American Association for Cancer Research	doi: 10.1158/1078-0432.CCR-24-0626
38979944	2024 Jul 15	"Yang C, Ni B, Shen L, Li Z, Zhou L, Wu H, Zhang Y, Liu L, Liu J, Tian L, Yan L, Jin X"	Systematic pan-cancer analysis insights into ICAM1 as an immunological and prognostic biomarker.	FASEB journal : official publication of the Federation of American Societies for Experimental Biology	doi: 10.1096/fj.202302176R
38976216	2024 Jul 8	"Park SW, Han MR"	"A pan-cancer analysis unveiling the function of NR4A family genes in tumor immune microenvironment, prognosis, and drug response."	Genes & genomics	doi: 10.1007/s13258-024-01539-1
38972247	2024	"Carvalho MFL, Calicchio CS, de Almeida BO, de Miranda LBL, Lipreri da Silva JC, Lima K, Machado-Neto JA"	Transcriptomics analysis identified ezrin as a potential druggable target in cervical and gastric cancer cells.	"Clinics (Sao Paulo, Brazil)"	doi: 10.1016/j.clinsp.2024.100422
38970506	2024 Jul 6	"Hu Q, Yue B, Liu J, Gao Y, Huang X, Hu Y"	Pan-Cancer Bioinformatics Indicates ZNF207 is a Promising Prognostic Biomarker and Immunotherapeutic Target.	Journal of leukocyte biology	pii: qiae147. doi: 10.1093/jleuko/qiae147
38970067	2024 Jul 5	"Hua T, Liu DX, Zhang XC, Li ST, Wu JL, Zhao Q, Chen SB"	Establishment of an ovarian cancer exhausted CD8+T cells-related genes model by integrated analysis of scRNA-seq and bulk RNA-seq.	European journal of medical research	doi: 10.1186/s40001-024-01948-8
38968580	2024 Jul 3	"Lai F, Zheng W, Zhong C, Chen Z"	"Pan-cancer analysis of disulfidptosis with potential implications in prognosis, immune microenvironment, and drug resistance in human cancer."	Aging	doi: 10.18632/aging.205993
38967739	2024 Jul 5	"Zheng M, Chen X, Xu Z, Ye Z, Zhong L, Chen Z, Chen G, Cai B"	Comprehensive analysis of PSMG3 in pan-cancer and validation of its role in hepatocellular carcinoma.	Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico	doi: 10.1007/s12094-024-03580-8
38965238	2024 Jul 4	"Du B, Wang P, Wei L, Qin K, Pei Z, Zheng J, Wang J"	Unraveling the independent role of METTL3 in m6A modification and tumor progression in esophageal squamous cell carcinoma.	Scientific reports	doi: 10.1038/s41598-024-64517-3
38964031	2024 Jul 3	"Wang J, Guo T, Zhang X, Guo J, Meng X, Yan S, Wang Y, Xiao Y, Xu W, Wei X, Ding K, Zhang J, Mi Y, Wu S, Chen J, Huang Y, Ren S, Hou J"	Comprehensive investigation in oncogenic functions and immunological roles of NCBP2 and its validation in prostate cancer.	Translational oncology	doi: 10.1016/j.tranon.2024.102049
38956906	2024 Jul 2	"Lil X, Chen W, Jiang S, Zhang L, Huang H, Ji Y, Ni Q, Ling C"	Low Expression of SCN4B Predicts Poor Prognosis in Non-Small Cell Lung Cancer.	Current cancer drug targets	doi: 10.2174/0115680096293516240607071915
38952552	2024	"Cui Z, Liu C, Wang X, Xiang Y"	"A pan-cancer analysis of EphA family gene expression and its association with prognosis, tumor microenvironment, and therapeutic targets."	Frontiers in oncology	doi: 10.3389/fonc.2024.1378087
38952160	2024 Jun 28	"Shen J, Gong X, Tan S, Zhang Y, Xia R, Xu S, Wang S, Zhou H, Jiang Y, Zhao T, Zhang Y, Tang H, Wang C"	"CDK1 Acts as a Prognostic Biomarker Associated with Immune Infiltration in Pan-Cancer, Especially in Gastrointestinal Tumors."	Current medicinal chemistry	doi: 10.2174/0109298673322212240620111356
38951221	2024 Jun 29	"Yang M, Deng Y, Ma Y, Song C, Wu Z, Yibulayin X, Sun X, Guo Y, He D"	Comprehensive pan-cancer analysis reveals that C5orf34 regulates the proliferation and mortality of lung cancer.	Functional & integrative genomics	doi: 10.1007/s10142-024-01397-w
38948930	2024	"Wang Y, Seliger B"	Identification of RNA-binding protein hnRNP C targeting the 3'UTR of the TAP-associated glycoprotein tapasin in melanoma.	Oncoimmunology	doi: 10.1080/2162402X.2024.2370928
38947838	2024 Jun 25	"Li Y, Chen H, Zhang B, Liu J, Ma J, Ma W, Lu S"	TMEM147: A Promising Cancer Biomarker Associated with Immune Cell Infiltration and Prognosis in LIHC-Insights from a Comprehensive Pan-Cancer Genomic Analysis.	ACS omega	doi: 10.1021/acsomega.4c01215
38944166	2024 Jun 27	"Yin YF, Jia QY, Yao HF, Zhu YH, Zheng JH, Duan ZH, Hu CY, Sun YW, Liu DJ, Huo YM, Liu W"	OCIAD2 promotes pancreatic cancer progression through the AKT signaling pathway.	Gene	doi: 10.1016/j.gene.2024.148735
38934284	2024 Jun 26	"Qiu G, Song C, Lou M, Lin J"	"Decoding the Expressions, Immune Relevance, and Prognostic Values of Ferroptosis Gene TMEM189: A Pan-Cancer Analysis."	Current cancer drug targets	doi: 10.2174/0115680096308701240605114342
